layer_id,server,type,number,name,offsetX,offsetY,symbol,insert,geometry_wkt
68,31,point,0,C_SWD_EX PIT,115.8481299397865,-31.96576487741475,,C_SWD_PIT,
67,30,polyline,0,C_SWD_EX STORMWATER DRAINAGE,115.84891485264751,-31.96576487703375,maintenance_hole,C_SWD_PIT,
66,29,polyline,0,1m_CONTOURS,151.2038397909985,-33.8892883241928,,,
65,28,point,0,C_SWD_EX PIT,151.2040162141575,-33.88943655579335,,,
64,27,polyline,0,C_SWD_EX STORMWATER DRAINAGE,151.20396173888,-33.88845553094171,,,
50,26,polyline,6,1m_CONTOURS,152.8508928515635,-26.70797424026415,,,
62,17,polyline,45,C_SEW_EX SERVICE,151.38768388405303,-27.519000584999965,,,
61,17,polyline,44,C_SEW_EX RISING MAIN,151.38768388405303,-27.519000584999965,,,
60,17,polyline,43,C_SEW_EX GRAVITY SEWER,151.38768388405303,-27.519000584999965,,,
59,17,point,42,C_SEW_EX MAINTENANCE HOLE,151.38768388405303,-27.519000584999965,,,
58,17,polyline,36,C_SWD_EX STORMWATER DRAINAGE,151.38768388405303,-27.519000584999965,,,
57,17,point,33,C_SWD_EX PIT,151.38768388405303,-27.519000584999965,,,
56,17,polyline,30,C_WAT_EX SERVICE,151.38768388405303,-27.519000584999965,,,
55,17,polyline,29,C_WAT_EX DRINKING WATER MAIN,151.38768388405303,-27.519000584999965,,,
54,17,point,28,C_WAT_EX HYDRANT,151.38768388405303,-27.519000584999965,,,
53,17,point,27,C_WAT_EX VALVE,151.38768388405303,-27.519000584999965,,,
52,17,point,26,C_WAT_EX VALVE,151.38768388405303,-27.519000584999965,,,
51,17,polyline,23,1m_CONTOURS,151.38768388405303,-27.519000584999965,,,
63,12,polygon,15,C_BDY,149.80739074101405,-32.87525231899164,,,
49,10,polyline,19,C_WAT_EX SERVICE,0,-44.99999999999835,,,
48,10,polyline,17,C_WAT_EX DRINKING WATER MAIN,0,-44.99999999999835,,,
47,10,polyline,16,C_WAT_EX DRINKING WATER MAIN,0,-44.99999999999835,,,
46,10,point,5,C_WAT_EX HYDRANT,0,-44.99999999999835,,,
45,10,point,1,C_WAT_EX VALVE,0,-44.99999999999835,,,
44,10,point,0,C_WAT_EX VALVE,0,-44.99999999999835,,,
43,9,polyline,21,C_SEW_EX SERVICE,0,-45,,,
42,9,polyline,19,C_SEW_EX RISING MAIN,0,-45,,,
41,9,polyline,17,C_SEW_EX GRAVITY SEWER,0,-45,,,
40,9,polyline,16,C_SEW_EX GRAVITY SEWER,0,-45,,,
39,9,point,4,C_SEW_EX MAINTENANCE HOLE,0,-45,,,
38,8,polygon,20,C_SWD_EX MAINTENANCE HOLE,153.360152093,-27.96711795,,,
37,8,polyline,15,C_SWD_EX STORMWATER DRAINAGE,153.360152093,-27.96711795,,,
36,7,polyline,7,C_WAT_EX SERVICE,153.368289952,-27.9426428815,,,
35,7,polyline,5,C_WAT_EX RECYCLED WATER MAIN,153.368289952,-27.9426428815,,,
34,7,polyline,4,C_WAT_EX DRINKING WATER MAIN,153.368289952,-27.9426428815,,,
33,7,point,3,C_WAT_EX SERVICE,153.368289952,-27.9426428815,,,
32,7,point,0,C_WAT_EX HYDRANT,153.368289952,-27.9426428815,,,
31,6,polyline,7,C_SEW_EX RISING MAIN,153.372656825,-27.944125517499998,,,
30,6,polyline,6,C_SEW_EX GRAVITY SEWER,153.372656825,-27.944125517499998,,,
29,6,polyline,5,C_SEW_EX SERVICE,153.372656825,-27.944125517499998,,,
28,6,polyline,4,C_SEW_EX SERVICE,153.372656825,-27.944125517499998,,,
27,6,point,1,C_SEW_EX MAINTENANCE HOLE,153.372656825,-27.944125517499998,,,
26,5,polyline,7,C_EX ELEC OH HV,149.789408178,-22.929895783,,,
